代理主键,租户ID,喂养分组ID,资产ID,加入日期,退出日期,状态(0离组，1在组)',创建人,创建人名称,创建人部门id,创建时间,状态，预留。默认为 0
119,4,7,3558,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
120,4,7,3601,2025-04-01,2025-04-09,0,15,付勇斌,6,2025-05-12 16:22:42,1
121,4,7,3614,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
122,4,7,3729,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
123,4,7,3746,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
124,4,7,3751,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
125,4,7,3753,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
126,4,7,3754,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
127,4,7,3756,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
128,4,7,3757,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
129,4,7,3758,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
130,4,7,3759,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
131,4,7,3764,2025-04-01,2025-06-10,0,15,付勇斌,6,2025-05-12 16:22:42,1
132,4,7,3766,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
133,4,7,3767,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
134,4,7,3768,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
135,4,7,3772,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
136,4,7,3774,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
137,4,7,3777,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
138,4,7,3779,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
139,4,7,3782,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
140,4,7,3785,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
141,4,7,3786,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
142,4,7,3788,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
143,4,7,3796,2025-04-01,2025-05-28,0,15,付勇斌,6,2025-05-12 16:22:42,1
144,4,7,3797,2025-04-01,,1,15,付勇斌,6,2025-05-12 16:22:42,1
