代理主键,租户ID,配方ID,配方项名称,配方项重，单位：千克,配方项占比,外部ID，来自物资出入库系统,创建人,创建人名称,创建人部门id,创建时间,状态，预留。默认为 0
63,4,8,玉米,720,0.6997,13,15,付勇斌,6,2025-05-12 11:41:49,1
64,4,8,豆粕,140,0.1361,14,15,付勇斌,6,2025-05-12 11:41:49,1
65,4,8,麸皮,80,0.0777,15,15,付勇斌,6,2025-05-12 11:41:49,1
66,4,8,4%预混料,60,0.0583,11,15,付勇斌,6,2025-05-12 11:41:49,1
67,4,8,小苏打,15,0.0146,20,15,付勇斌,6,2025-05-12 11:41:49,1
68,4,8,食盐,5,0.0049,21,15,付勇斌,6,2025-05-12 11:41:49,1
69,4,8,氧化镁,6,0.0058,24,15,付勇斌,6,2025-05-12 11:41:49,1
70,4,8,胃兴PLUS,2,0.0019,25,15,付勇斌,6,2025-05-12 11:41:49,1
71,4,8,生物脱霉剂,1,0.001,19,15,付勇斌,6,2025-05-12 11:41:49,1
72,4,9,玉米,720,0.6997,13,15,付勇斌,6,2025-05-12 11:44:42,1
73,4,9,豆粕,140,0.1361,14,15,付勇斌,6,2025-05-12 11:44:42,1
74,4,9,麸皮,80,0.0777,15,15,付勇斌,6,2025-05-12 11:44:42,1
75,4,9,4%预混料,60,0.0583,11,15,付勇斌,6,2025-05-12 11:44:42,1
76,4,9,小苏打,15,0.0146,20,15,付勇斌,6,2025-05-12 11:44:42,1
77,4,9,食盐,5,0.0049,21,15,付勇斌,6,2025-05-12 11:44:42,1
78,4,9,氧化镁,6,0.0058,24,15,付勇斌,6,2025-05-12 11:44:42,1
79,4,9,胃兴PLUS,2,0.0019,25,15,付勇斌,6,2025-05-12 11:44:42,1
80,4,9,生物脱霉剂,1,0.001,19,15,付勇斌,6,2025-05-12 11:44:42,1
81,4,10,玉米,360,1.0,13,15,付勇斌,6,2025-05-26 16:30:59,1
