代理主键,租户ID,喂养记录ID,饲料类型（1：精料，2：草料，3：酒糟）,饲料名称，冗余,饲料ID。精料：喂养精料配方ID，草料：草料ID，酒糟：酒糟ID,喂养量，单位：千克,创建人,创建人名称,创建人部门id,创建时间,状态，预留。默认为 0
143,4,13,2,稻草,16,2700.0,15,付勇斌,6,2025-05-12 16:31:59,1
144,4,13,2,揉丝玉米秸秆,27,3600.0,15,付勇斌,6,2025-05-12 16:31:59,1
145,4,13,3,曲酒糟,18,31400.0,15,付勇斌,6,2025-05-12 16:31:59,1
146,4,13,1,玉米,13,14273.88,15,付勇斌,6,2025-05-12 16:31:59,1
147,4,13,1,豆粕,14,2776.44,15,付勇斌,6,2025-05-12 16:31:59,1
148,4,13,1,麸皮,15,1585.08,15,付勇斌,6,2025-05-12 16:31:59,1
149,4,13,1,4%预混料,11,1189.32,15,付勇斌,6,2025-05-12 16:31:59,1
150,4,13,1,小苏打,20,297.84,15,付勇斌,6,2025-05-12 16:31:59,1
151,4,13,1,食盐,21,99.96,15,付勇斌,6,2025-05-12 16:31:59,1
152,4,13,1,氧化镁,24,118.32,15,付勇斌,6,2025-05-12 16:31:59,1
153,4,13,1,胃兴PLUS,25,38.76,15,付勇斌,6,2025-05-12 16:31:59,1
154,4,13,1,生物脱霉剂,19,20.4,15,付勇斌,6,2025-05-12 16:31:59,1
157,4,15,3,曲酒糟,18,0.0,34,王建东,6,2025-05-26 16:36:44,1
158,4,15,1,玉米,13,360.0,34,王建东,6,2025-05-26 16:36:44,1
159,4,16,2,稻草,16,2400.0,15,付勇斌,6,2025-06-03 15:25:57,1
160,4,16,2,揉丝玉米秸秆,27,2700.0,15,付勇斌,6,2025-06-03 15:25:57,1
161,4,16,3,曲酒糟,18,25900.0,15,付勇斌,6,2025-06-03 15:25:57,1
162,4,16,1,玉米,13,13294.3,15,付勇斌,6,2025-06-03 15:25:57,1
163,4,16,1,豆粕,14,2585.9,15,付勇斌,6,2025-06-03 15:25:57,1
164,4,16,1,麸皮,15,1476.3,15,付勇斌,6,2025-06-03 15:25:57,1
165,4,16,1,4%预混料,11,1107.7,15,付勇斌,6,2025-06-03 15:25:57,1
166,4,16,1,小苏打,20,277.4,15,付勇斌,6,2025-06-03 15:25:57,1
167,4,16,1,食盐,21,93.1,15,付勇斌,6,2025-06-03 15:25:57,1
168,4,16,1,氧化镁,24,110.2,15,付勇斌,6,2025-06-03 15:25:57,1
169,4,16,1,胃兴PLUS,25,36.1,15,付勇斌,6,2025-06-03 15:25:57,1
170,4,16,1,生物脱霉剂,19,19.0,15,付勇斌,6,2025-06-03 15:25:57,1
