自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
2,1,101,3721634189,2022-12-18,付勇斌,,349.0,17,付勇彬,1,2022-12-28 15:07:05,17.0,付勇彬,2023-04-13 10:49:32,0
3,1,100,3721894957,2022-12-18,付勇斌,,475.0,17,付勇彬,1,2022-12-28 15:08:52,17.0,付勇彬,2023-04-13 10:49:23,0
4,1,9,3720304813,2023-02-03,付勇斌,,390.0,17,付勇彬,1,2023-04-13 10:41:19,,,,0
5,1,100,3721894957,2023-01-18,付勇斌,,527.0,17,付勇彬,1,2023-04-13 10:46:24,,,,0
6,1,100,3721894957,2023-02-21,付勇斌,,581.0,17,付勇彬,1,2023-04-13 10:47:04,,,,0
7,1,100,3721894957,2023-03-18,付勇斌,,625.0,17,付勇彬,1,2023-04-13 10:48:02,,,,0
8,1,137,MK2210000033,2023-04-15,付勇斌,,500.0,17,付勇彬,1,2023-04-15 10:41:26,,,,0
12,4,3469,202310051248,2023-08-20,付勇斌,14.0,443.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
13,4,3470,202310051249,2023-08-20,付勇斌,14.0,470.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
14,4,3471,202310051250,2023-08-20,付勇斌,14.0,523.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
15,4,3472,202310051251,2023-08-20,付勇斌,14.0,473.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
16,4,3473,202310051252,2023-08-20,付勇斌,14.0,459.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
17,4,3474,202310051253,2023-08-20,付勇斌,14.0,442.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
18,4,3475,202310051254,2023-08-20,付勇斌,14.0,498.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:24,0
19,4,3476,202310051255,2023-08-20,付勇斌,14.0,531.0,15,付勇斌,6,2023-08-20 00:00:00,,,2024-03-19 09:42:25,0
