自增ID,租户ID,药品分类,药品分类.1,药品名称,药品描述,启用状态，true启用，false停用,删除状态（-1删除 0默认 1禁止删除）,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间
2,1,2,治疗,阿莫西林,,1,0,12,贾潇雄,2,2022-12-27 16:56:44,17.0,付勇彬,2023-04-13 09:55:14
3,3,1,疫苗,50,,1,0,14,正式端测试,5,2022-12-27 18:02:27,,,
4,1,1,疫苗,康蹄清,口蹄疫,1,0,17,付勇彬,1,2022-12-28 14:59:06,17.0,付勇彬,2023-04-11 11:56:34
5,1,2,治疗,黄连解毒散,,1,0,25,彭波,1,2023-04-11 10:54:01,25.0,彭波,2023-04-11 12:01:07
6,1,2,治疗,柴胡,,1,0,25,彭波,1,2023-04-11 11:40:44,,,
7,1,2,治疗,头孢,,1,0,25,彭波,1,2023-04-11 11:41:01,,,
8,1,2,治疗,安乃近,,1,0,25,彭波,1,2023-04-11 11:41:08,,,
9,1,2,治疗,45%月桂酸单甘油酷,,1,0,25,彭波,1,2023-04-11 12:03:20,,,
10,1,2,治疗,安痛定,,1,0,17,付勇彬,1,2023-04-13 09:46:28,,,
11,1,2,治疗,复合维生素b,,1,0,17,付勇彬,1,2023-04-13 09:47:46,,,
12,1,2,治疗,板蓝根注射液,,1,0,17,付勇彬,1,2023-04-13 09:48:05,,,
13,1,2,治疗,金银花粗提液,,1,0,17,付勇彬,1,2023-04-13 09:49:23,,,
14,1,2,治疗,鱼腥草注射液,,1,0,17,付勇彬,1,2023-04-13 09:49:59,,,
15,1,3,预防,阿笨达唑伊维菌素预混剂,,1,0,17,付勇彬,1,2023-04-13 09:54:29,,,
16,1,2,治疗,地塞米松磷酸钠,,1,0,17,付勇彬,1,2023-04-13 09:56:01,,,
17,1,2,治疗,双黄连注射液,,1,0,17,付勇彬,1,2023-04-13 09:56:34,,,
18,1,2,治疗,萘普生筋骨宁,,1,0,17,付勇彬,1,2023-04-13 09:58:19,17.0,付勇彬,2023-04-13 09:58:45
19,1,3,预防,高锰酸钾,,1,0,17,付勇彬,1,2023-04-13 10:21:52,,,
20,4,2,治疗,萘普生,,1,0,15,付勇斌,6,2023-11-24 09:19:54,,,
21,4,2,治疗,安痛定,,1,0,15,付勇斌,6,2023-11-24 09:20:37,,,
22,4,2,治疗,头孢,,1,0,15,付勇斌,6,2023-11-24 09:20:46,,,
23,4,2,治疗,安乃近,,1,0,15,付勇斌,6,2023-11-24 09:21:05,,,
24,4,2,治疗,复合维B,,1,0,15,付勇斌,6,2023-11-24 09:21:20,,,
25,4,2,治疗,柴胡,,1,0,15,付勇斌,6,2023-11-24 09:21:49,,,
26,4,2,治疗,板蓝根注射液,,1,0,15,付勇斌,6,2023-11-28 10:56:28,,,
27,4,2,治疗,金银花粗提液,,1,0,15,付勇斌,6,2023-11-28 10:56:48,,,
28,4,2,治疗,双黄连注射液,,1,0,15,付勇斌,6,2023-12-01 09:40:43,,,
29,4,1,疫苗,金宇牛结节疫苗,,1,0,15,付勇斌,6,2024-03-19 16:44:37,,,
30,4,1,疫苗,金宇口蹄疫苗,,1,0,15,付勇斌,6,2024-03-19 16:45:30,,,
31,4,2,治疗,盐酸林可霉素,林可胺类抗生素,1,0,15,付勇斌,6,2024-04-24 17:52:58,15.0,付勇斌,2024-04-24 17:54:19
32,4,2,治疗,注射用硫酸链霉素,氨基酸苷类抗生素,1,0,15,付勇斌,6,2024-04-24 17:53:53,,,
33,4,2,治疗,氟尼辛葡甲胺,解热镇痛抗炎药,1,0,15,付勇斌,6,2024-04-24 17:57:28,,,
34,4,2,治疗,聚维酮碘,,1,0,15,付勇斌,6,2024-04-24 18:05:12,,,
35,4,2,治疗,鱼石脂,,1,0,15,付勇斌,6,2024-04-24 18:05:30,,,
