自增ID,租户ID,资产ID,智能耳标编号,防疫日期,疫苗类型,类型名称 口蹄疫，巴氏杆菌病，布鲁氏菌病，皮肤结节病等,用药名称,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
6,1,108,3722447421,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 10:43:09,25.0,彭波,2023-04-11 10:44:01,0
7,1,102,3722014589,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:17:09,,,,0
8,1,101,3721634189,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:17:09,,,,0
9,1,100,3721894957,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:17:09,,,,0
10,1,99,3722637901,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:17:09,,,,0
11,1,98,3722299485,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:17:09,,,,0
12,1,97,3722103821,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:21:12,,,,0
13,1,96,3721961245,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:21:12,,,,0
14,1,95,3722119885,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:21:12,,,,0
15,1,94,3722433485,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 11:21:12,,,,0
16,1,71,3722476285,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
17,1,75,3720327405,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
18,1,74,3720327917,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
19,1,73,3720308429,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
20,1,70,3721563629,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
21,1,67,3721026621,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
22,1,66,3721672413,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
23,1,65,3722299517,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
24,1,64,3721801325,2023-03-07,1,口蹄疫,康蹄清;,25,彭波,1,2023-04-11 19:39:36,,,,0
